id,lon,lat,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation
U12809,-56.89583333,-34.22916667,17.04746875,10.4533125,43.09533625,483.8901594,30.2695,6.01325,24.25625,19.41683333,11.269375,23.07166667,11.269375,1150.913574,118.395057,73.38421157,14.7983735,322.9467105,244.5193005,286.9271755,244.5193005,
U12691,-56.4375,-34.1875,16.95683333,10.75783333,43.86342246,489.0494567,30.31675,5.791,24.52575,19.41883333,11.84195833,22.95983333,11.07725,1150.978276,116.9780221,78.91433059,11.07898133,315.6873927,252.5948236,288.1084774,258.3998902,
U12412,-57.3125,-34.10416667,17.21217708,9.6733125,41.37076597,482.3321521,29.7625,6.3805,23.382,19.61795833,11.39279167,23.18920833,11.39279167,1151.185302,119.7874412,70.7819701,15.60866363,321.0316505,225.7978196,306.499679,225.7978196,
U12810,-56.85416667,-34.22916667,17.06021875,10.51722917,43.24696397,484.3000376,30.337,6.018,24.319,19.43683333,11.27204167,23.08820833,11.27204167,1151.236463,118.9089352,73.4586395,15.56594025,324.883194,246.6841547,285.0166832,246.6841547,
U12567,-56.22916667,-34.14583333,16.94153125,10.72460417,43.90156748,491.2379486,30.1705,5.74175,24.42875,19.46091667,10.97804167,22.914,10.97804167,1151.298887,114.7045619,84.91072271,8.056154039,305.7518084,264.5158055,290.6884587,264.5158055,
U11373,-57.60416667,-33.77083333,17.32046875,9.9489375,41.58559396,488.756554,30.0725,6.1485,23.924,22.88345833,11.39133333,23.33641667,11.39133333,1151.43483,126.4696461,63.19083142,20.42630206,337.9873553,207.7607414,318.7292429,207.7607414,
U8654,-58.02083333,-32.89583333,18.06079167,11.47216667,44.84818869,488.0805939,31.582,6.002,25.58,21.43754167,12.07666667,23.99575,12.07666667,1151.458672,121.8864002,64.68728543,20.73083765,349.100787,209.0357156,333.163385,209.0357156,363
U12576,-55.85416667,-34.14583333,16.81267708,10.66439583,44.44887291,476.2814624,29.8085,5.816,23.9925,20.28545833,11.01366667,22.59554167,11.01366667,1151.459632,110.5665831,88.03271473,6.90722052,304.5484479,269.0373476,290.130025,269.0373476,
U12708,-55.72916667,-34.1875,16.76989583,10.60966667,44.63328531,470.8641462,29.641,5.87025,23.77075,20.235125,11.03029167,22.48808333,11.03029167,1151.460243,109.6953828,86.78130437,6.396793034,300.6303174,270.147564,288.7133377,270.147564,
U12558,-56.60416667,-34.14583333,17.08641667,10.78520833,43.77469086,488.4882594,30.54,5.902,24.638,19.54679167,11.98679167,23.12491667,11.23091667,1151.486435,119.7881634,76.2727173,13.7903643,323.8954311,246.5283274,288.6169205,250.5209458,
U10210,-57.6875,-33.39583333,17.69904167,10.737625,43.0072696,495.8403456,30.92875,5.96175,24.967,23.30041667,11.66691667,23.76054167,11.66691667,1151.574094,120.7764942,65.81212446,20.53143552,346.1326606,203.2466695,331.3841798,203.2466695,
U10467,-57.72916667,-33.47916667,17.62290625,10.6030625,42.78015937,494.935359,30.803,6.018,24.785,23.22441667,11.602875,23.69154167,11.602875,1151.582867,118.9919884,66.29956076,20.20068944,344.2762608,204.2080415,326.9073451,204.2080415,
U10468,-57.6875,-33.47916667,17.57476042,10.5964375,42.89100605,494.4639774,30.68875,5.98325,24.7055,23.17,11.56520833,23.63379167,11.56520833,1151.642636,118.3651311,65.65503229,20.3008296,345.7302611,203.7024003,328.7242272,203.7024003,
U13909,-54.0625,-34.5625,16.47532292,9.139354167,44.19310059,420.3781116,27.33275,6.65225,20.6805,11.42695833,20.23604167,21.5825,11.42695833,1151.725047,108.6387753,74.82391402,10.63877493,313.4663321,248.7829104,296.0540751,313.4663321,
U14153,-54.64583333,-34.64583333,16.31076042,8.7155625,42.74796758,422.9254614,27.08275,6.6945,20.38825,11.193875,20.205625,21.439,11.193875,1151.823437,104.5362488,82.1495453,7.067213888,305.0995769,256.5263108,269.6150946,305.0995769,
U10855,-57.6875,-33.60416667,17.40690625,10.3010625,42.32849482,491.2647854,30.357,6.021,24.336,22.97795833,11.441625,23.44366667,11.441625,1151.95963,122.0263987,64.62903655,20.47430989,344.4414012,205.2783376,324.5224928,205.2783376,
U11889,-57.60416667,-33.9375,17.17241667,9.577166667,41.05262406,483.7567417,29.58475,6.25575,23.329,22.66820833,11.29725,23.12825,11.29725,1151.970285,126.2990134,65.53034502,19.87092542,334.8488699,210.7678566,317.61784,210.7678566,
U12838,-55.6875,-34.22916667,16.78113542,10.48514583,44.47192532,468.0751811,29.54275,5.96575,23.577,16.23620833,11.07466667,22.46466667,11.07466667,1152.09725,108.7966216,87.31897803,6.051798692,300.574632,270.7074687,287.8774931,270.7074687,
